
#dialog_window_name,PDF_file_name,go_to_page

main_help,help/contents.htm,-1
main,help/contents.htm,-1
layer_details,netexg_manual.pdf,2
layer_order,netexg_manual.pdf,4
drill,help/chapter8.htm,-1
window,netexg_manual.pdf,8
labels,help/chapter9.htm,-1
preferences,help/chapter7.htm,-1
extractions,help/chapter6.htm,-1
import_aif,netexg_manual.pdf,11
import_ipc356,netexg_manual.pdf,12
advanced_preferences,help/chapter7.htm,-1
output_format,help/chapter5.htm,-1

main_help,netexg_manual.pdf,1
main,netexg_manual.pdf,1
layer_details,netexg_manual.pdf,2
layer_order,netexg_manual.pdf,4
drill,netexg_manual.pdf,7
window,netexg_manual.pdf,8
labels,netexg_manual.pdf,9
preferences,netexg_manual.pdf,5
extractions,netexg_manual.pdf,16
import_aif,netexg_manual.pdf,11
import_ipc356,netexg_manual.pdf,12
advanced_preferences,netexg_manual.pdf,6
output_format,netexg_manual.pdf,14
