File Format: MDS
; @(#) $Source: /cvs/sr/src/gemini/lib_netlist/slib-sml/source/CDMA_rf.dat,v $ $Revision: 1.1 $ $Date: 1997/12/17 12:01:44 $
Title: Equation data
Date: Tuesday, 4 November 1997 21:45:20 GMT
Plotname: XX x[0]
Flags: complex
No. Sweep Variables: 0
Sweep Variables:
No. Variables: 2
Variables:         0  IVAR  unknown type=real indep=yes
        1  _NMDEQN  unknown type=complex indep=no
Values:
0    0,0
    -.632208E-02,0
1    .20345052E-06,0
    -.854198E-02,0
2    .40690104E-06,0
    -.893808E-02,-.632208E-02
3    .61035156E-06,0
    -.418343E-02,-.854198E-02
4    .81380208E-06,0
    -.92145E-03,-.893808E-02
5    .10172526E-05,0
    .769264E-02,-.418343E-02
6    .122070312E-05,0
    .1381245E-01,-.92145E-03
7    .142415365E-05,0
    .1629032E-01,.769264E-02
8    .162760417E-05,0
    .834634E-02,.1381245E-01
9    .183105469E-05,0
    .219312E-02,.1629032E-01
10    .203450521E-05,0
    -.136662E-02,.834634E-02
11    .223795573E-05,0
    .349565E-02,.219312E-02
12    .244140625E-05,0
    .1031497E-01,-.136662E-02
13    .264485677E-05,0
    .232853E-01,.349565E-02
14    .284830729E-05,0
    .3035071E-01,.1031497E-01
15    .305175781E-05,0
    .2712774E-01,.232853E-01
16    .325520833E-05,0
    .710506E-02,.3035071E-01
17    .345865885E-05,0
    -.1258395E-01,.2712774E-01
18    .366210937E-05,0
    -.2260656E-01,.710506E-02
19    .38655599E-05,0
    -.800054E-02,-.1258395E-01
20    .406901042E-05,0
    .3075553E-01,-.2260656E-01
21    .427246094E-05,0
    .9776283E-01,-.800054E-02
22    .447591146E-05,0
    .17386235,.3075553E-01
23    .467936198E-05,0
    .24199946,.9776283E-01
24    .48828125E-05,0
    .28075553,.17386235
25    .508626302E-05,0
    .29423174,.24199946
26    .528971354E-05,0
    .28420913,.28075553
27    .549316406E-05,0
    .26564994,.29423174
28    .569661458E-05,0
    .24562725,.28420913
29    .59000651E-05,0
    .24127447,.26564994
30    .610351562E-05,0
    .24833988,.24562725
31    .630696615E-05,0
    .26244002,.24127447
32    .651041667E-05,0
    .26925934,.24833988
